username,judul video,text,tanggal publish,clean_comment,comment_no_slang,Sentimen
@faizalcahsono25,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,@gadgetin bang tapi disitu gak ada tulisan made in china ya kaya yg masuk ke Indonesia  ?,2025-05-12T09:02:05Z,gadgetin bang tapi disitu gak ada tulisan made in china ya kaya yg masuk ke indonesia,gadgetin bang tapi disitu tidak ada tulisan made in china ya seperti yang masuk ke indonesia,2
@ReimonWell,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Semoga saya bisa sukses dari ngonten..,2025-05-12T04:11:24Z,semoga saya bisa sukses dari ngonten,semoga saya bisa sukses dari ngonten,3
@RahmanSusantoy,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,"Mudah""an bisa beli 16 por max thn depan",2025-04-30T10:34:19Z,mudah an bisa beli 16 por max thn depan,msudah an bisa beli 16 pro max tahun depan,1
@halidasjamsoedin4822,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Najis hp dajjal itu,2025-04-20T23:40:39Z,najis hp dajjal itu,najis hp dajjal itu,2
@vidiparetta924,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,"Bang mau tanya akun icloud apa bisa digunakan di dua hp ya..
Makasih bang..🙏🏻",2025-04-17T11:16:27Z,bang mau tanya akun icloud apa bisa digunakan di dua hp ya makasih bang,bang mau tanya sayan icloud apa bisa digunakan di dua hp ya makasih bang,3
@jokobudi4114,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Masih menjadi mimpi punya iphone 16😂😂😂😂,2025-04-15T05:55:12Z,masih menjadi mimpi punya iphone 16,masih menjadi mimpi punya iphone 16,1
@Aulien137,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,"Baru dateng barangnya wkwk. Sama sama biru. Buat kado sih, semoga suka 🥲",2025-04-14T13:49:20Z,baru dateng barangnya wkwk sama sama biru buat kado sih semoga suka,baru dateng barangnya wkwk sama sama biru buat kado sih semoga suka,1
@errr2786,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Izin tanya brati kalo pake ip 16 basic itu pake adaptor 20 watt aja ya ?,2025-04-13T06:56:43Z,izin tanya brati kalo pake ip 16 basic itu pake adaptor 20 watt aja ya,izin tanya berarti kalau pakai iphone 16 basic itu pakai adaptor 20 watt aja ya,1
@VARSYAH160,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Request hp keluaran terbaru 2025,2025-04-06T00:49:27Z,request hp keluaran terbaru 2025,request hp keluaran terbaru 2025,3
@FatimahWardatulaulia-iu1zd,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Keren,2025-04-04T16:52:14Z,keren,keren,1
@SukaJajan1908,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Kira2 brp hayo cukainya 😅😅,2025-04-02T09:10:49Z,kira2 brp hayo cukainya,kira kira berapa hayo cukai nya,3
@ImadeImaderakajuliantara,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Hiii  bantu jawab teman teman mohon banget infonya kalok beli iphone luar negri itu materialnya sama dengan di indo apa beda? Mohon bantuannya,2025-03-28T02:10:43Z,hiii bantu jawab teman teman mohon banget infonya kalok beli iphone luar negri itu materialnya sama dengan di indo apa beda mohon bantuannya,hiii bantu jawab teman teman mohon sekali infonya kalok beli iphone luar negri itu materialnya sama dengan di indonesianeisa apa berbeda mohon bantuannya,3
@slametbudiraharja9813,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Semoga yang belum punya iPhone segera ke beli aamiin,2025-03-21T00:35:13Z,semoga yang belum punya iphone segera ke beli aamiin,semoga yang belum punya iphone segera ke beli aamiin,1
@lialidia-e8p,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Kelas elite...emaknya masih make balao 😂...keren bang warnanya ..I like it,2025-03-18T01:41:34Z,kelas elite emaknya masih make balao keren bang warnanya i like it,kelas elite ibu nya masih pakai balao keren bang warnanya i like it,1
@mahyudipitusongo4891,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,"stlh diunboxing hpnya diapain bang, masa iya dipake semua 😁",2025-03-12T11:34:25Z,stlh diunboxing hpnya diapain bang masa iya dipake semua,setelah diunboxing hpnya diapakan bang masa iya dipakai semua,3
@Yaya0853,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Cuma bisa mengkhayal😊,2025-03-11T15:04:39Z,cuma bisa mengkhayal,hanya bisa mengkhayal,1
@user-pn1nj6kt3d,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Alhamdulillah nonton pake 14 pro ibox deep purple ❤❤❤,2025-03-10T05:00:47Z,alhamdulillah nonton pake 14 pro ibox deep purple,alhamdulillah nonton pakai 14 pro ibox deep purple,1
@mamahriyan681,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,semoga suatu saat bisa beli 🤲,2025-03-10T00:40:10Z,semoga suatu saat bisa beli,semoga suatu saat bisa beli,1
@rickynoor8453,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,buang duit 45 juta beli hp   nga mikir !,2025-03-09T17:11:41Z,buang duit 45 juta beli hp nga mikir,buang duit 45 juta beli hp tidak mikir,3
@SisiRisa-n9z,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,"Bikin nagih dan mantap ngegas di tempat resmi, langsung dikasih, yang pasti cuma di BAN SOS BET!",2025-03-08T14:12:52Z,bikin nagih dan mantap ngegas di tempat resmi langsung dikasih yang pasti cuma di ban sos bet,bikin nagih dan mantap ngegas di tempat resmi langsung dikasih yang pasti hanya di ban sos bet,3
@ruparupachannel8929,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,"Alhamdulillah yang biasanya tim nonton doang ga beli
Saat nonton ni udah pake ip 15 base model

Bersyukur mudah mudahan awet smpe generasi ip 25 😊",2025-02-27T12:47:33Z,alhamdulillah yang biasanya tim nonton doang ga beli saat nonton ni udah pake ip 15 base model bersyukur mudah mudahan awet smpe generasi ip 25,alhamdulillah yang biasanya tim nonton saja tidak beli saat nonton ini sudah pakai iphone 15 base model bersyukur msudah msudahan awet sampai generasi iphone 25,1
@NurAini-fu5kw,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Mas minat 16ibok bawain sekalian tak beli,2025-02-22T07:34:12Z,mas minat 16ibok bawain sekalian tak beli,mas minat 16 iphone bawakan sekalian saya beli,1
@riyuu7797,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,"baru beli ip 16 basic, ga enak banget anjir kek bukan iphone gitu bentuk kamera nya, Saran ku ketimbang ip 16, mending ambil aja 14 pro",2025-02-22T05:52:39Z,baru beli ip 16 basic ga enak banget anjir kek bukan iphone gitu bentuk kamera nya saran ku ketimbang ip 16 mending ambil aja 14 pro,baru beli iphone 16 basic tidak enak sekali anjir kaya bukan iphone gitu bentuk kamera nya saran saya daripada iphone 16 mending ambil saja 14 pro,2
@hexeranley,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,orang lewat aja dikomen😭,2025-02-22T01:00:34Z,orang lewat aja dikomen,orang lewat aja dikomen,3
@teleguanget7274,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,"berhentilah review hp I-Phone nanti kau di boikot rakyat Indonesia.  habis subscriber mu.  patuhi aturan pemerintah
 kalau begini sama aja lu menginjak injak kebijakan pemerintahan Indonesia.",2025-02-19T17:57:34Z,berhentilah review hp i phone nanti kau di boikot rakyat indonesia habis subscriber mu patuhi aturan pemerintah kalau begini sama aja lu menginjak injak kebijakan pemerintahan indonesia,berhentilah review hp iphone nanti anda di boikot rakyat indonesia habis subscriber anda patuhi aturan pemerintah kalau begini sama aja anda menginjak injak kebijakan pemerintahan indonesia,2
@teleguanget7274,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,"buat apa review hp ini, jauh jauh buang buang uang ke Singapore mending sumbangin ke panti uang nya. rakyat Indonesia setia sama pemerintah nya. katanya jgn beli ya jgn beli gak keras kek kamu bang.",2025-02-19T17:51:59Z,buat apa review hp ini jauh jauh buang buang uang ke singapore mending sumbangin ke panti uang nya rakyat indonesia setia sama pemerintah nya katanya jgn beli ya jgn beli gak keras kek kamu bang,untuk apa review hp ini jauh jauh buang buang uang ke singapore mending sumbangin ke panti uang nya rakyat indonesia setia sama pemerintah nya katanya jangan beli ya jangan beli tidak keras kaya anda bang,2
@AnggunNatanael,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,45 juta bisa beli mobil second 😂,2025-02-18T19:38:35Z,45 juta bisa beli mobil second,45 juta bisa beli mobil bekas,2
@iswantidevidevi453,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,"Baru bulan kmaren ambil yg 16+ blue marine 256,dri seri IP lainya, ini yg paling menarik,16 nomor keberuntungan😊😊😊😊😊",2025-02-18T12:34:34Z,baru bulan kmaren ambil yg 16 blue marine 256 dri seri ip lainya ini yg paling menarik 16 nomor keberuntungan,baru bulan kemarin ambil yang 16 blue marine 256 dari seri iphone lainya ini yang paling menarik 16 nomor keberuntungan,1
@AldyPradana17,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,🤔,2025-02-18T08:22:28Z,,,3
@novasetiawan2188,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Team beli doang enggk nonton,2025-02-17T13:11:41Z,team beli doang enggk nonton,tim beli saja tidak nonton,1
@intisaridakwah,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Semoga smua penonton bisa beli..amin,2025-02-17T06:03:42Z,semoga smua penonton bisa beli amin,semoga smua penonton bisa beli amin,1
@shahasgarasgar2380,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Kamera apah😂,2025-02-16T10:10:41Z,kamera apah,kamera apa,3
@sotoykucing1347,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,pembodohan😂rela jual diri,2025-02-15T17:36:10Z,pembodohan rela jual diri,pembodohan rela jual diri,2
@DhonySatriyo,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Om klo beli produk iphone amerika yg udah pake e-sim apa bisa dipake diindo nantinya?,2025-02-15T15:03:37Z,om klo beli produk iphone amerika yg udah pake e sim apa bisa dipake diindo nantinya,om kalau beli produk iphone amerika yang sudah pakai e sim apa bisa dipakai di indonesia nantinya,3
@Kangno215,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Iphone dikorea harga murah mntap,2025-02-15T11:58:10Z,iphone dikorea harga murah mntap,iphone dikorea harga murah mantap,1
@henokhalbert7785,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,"Bang, ini ip 16 pro udh laku apa blm dijual di tokped? Sorry telat info, baru liat kontennya Bang David. Mohon dijawab bang, thank u",2025-02-15T03:21:48Z,bang ini ip 16 pro udh laku apa blm dijual di tokped sorry telat info baru liat kontennya bang david mohon dijawab bang thank u,bang ini iphone 16 pro sudah lsaya apa belum dijual di tokopedia maaf telat info baru liat kontennya bang david mohon dijawab bang thank you,1
@Philepxy,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,cuman nonton gk mau beli 😂,2025-02-14T13:51:14Z,cuman nonton gk mau beli,hanya nonton tidak mau beli,2
@arielking3543,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,bismillah gift,2025-02-14T13:06:57Z,bismillah gift,bismillah gift,3
@rimbasumatra7181,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,"Apa hebatnya punya handphone separti ini,bukannya terlalu naif ya.Banyak orang punya hp mahal cuma buat narsis doank.Fitur2nya banyak yg gak berguna dan atau digunakan pemiliknya.Ujung2nya hp semahal ini cuma dipake nonton youtube,main game,titok,wa dan telepon doank dll.Hp sekelas infinix juga bisa melakukan itu .Intinya cuma buat gengsi2an doank.Bagi saya gak efektif lah...Up to you lah...haha gak tertarik gua.",2025-02-13T15:03:07Z,apa hebatnya punya handphone separti ini bukannya terlalu naif ya banyak orang punya hp mahal cuma buat narsis doank fitur2nya banyak yg gak berguna dan atau digunakan pemiliknya ujung2nya hp semahal ini cuma dipake nonton youtube main game titok wa dan telepon doank dll hp sekelas infinix juga bisa melakukan itu intinya cuma buat gengsi2an doank bagi saya gak efektif lah up to you lah haha gak tertarik gua,apa hebatnya punya handphone separti ini bukannya terlalu naif ya banyak orang punya hp mahal hanya untuk narsis saja fitur-fitur nya banyak yang tidak berguna dan atau digunakan pemiliknya ujung ujungnya hp semahal ini hanya dipakai nonton youtube main game titok whatsapp dan telepon saja dan lain lain hp sekelas infinix juga bisa melsayakan itu intinya hanya buat gengsi  saja bagi saya tidak efektif lah up to you lah haha tidak tertarik saya,2
@sapidandinotoys1643,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Kayak kamera gopro 10 jutaan,2025-02-12T16:34:59Z,kayak kamera gopro 10 jutaan,seperti kamera gopro 10 jutaan,1
@Sucisetianingsih171,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Semoga tahun ini bisa kebeli,2025-02-12T03:23:11Z,semoga tahun ini bisa kebeli,semoga tahun ini bisa kebeli,1
@cepabdulhakim5332,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,"Ko cepet banget dah keluar lg ip16, edi edii.. baru aja kemaren 15",2025-02-11T11:49:52Z,ko cepet banget dah keluar lg ip16 edi edii baru aja kemaren 15,ko cepet sekali sudah keluar lagi iphone 16  baru aja kemaren 15,1
@angelogantengbgt4015,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,bismillah bisa kebeli suatu hari nanti,2025-02-10T07:54:58Z,bismillah bisa kebeli suatu hari nanti,bismillah bisa kebeli suatu hari nanti,1
@PhoneOppoa77s,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Hasil photonya kok blur bg?,2025-02-10T06:23:06Z,hasil photonya kok blur bg,hasil photonya kok blur bang,2
@SetiaWati-1504,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,"Udh beli yg iphone 16 promex 256,tp blm tak pindah masi di 15 promax",2025-02-10T05:13:54Z,udh beli yg iphone 16 promex 256 tp blm tak pindah masi di 15 promax,sudah beli yang iphone 16 promax 256 tetapi belum saya pindah masih di 15 pro max,1
@ardiwae9742,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Iyah bang berapa cukainya?,2025-02-09T04:32:48Z,iyah bang berapa cukainya,iya bang berapa cukainya,3
@teguhpracoyo3179,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,iPhone 16 Pro lebih bagus BosQ 👍👍👍🙏❤️ Trimakasih review nya sangat rekomendasi sekali 🙏❤️👍👍👍 salam sukses selalu BosQu 🤝👍👍👍🙏❤️,2025-02-07T10:31:59Z,iphone 16 pro lebih bagus bosq trimakasih review nya sangat rekomendasi sekali salam sukses selalu bosqu,iphone 16 pro lebih bagus bosku terimakasih review nya sangat rekomendasi sekali salam sukses selalu bosqu,1
@helmiibrahim1252,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Bang ada vidio bahas hp spek gaming ga,2025-02-03T18:27:56Z,bang ada vidio bahas hp spek gaming ga,bang ada vidio bahas hp spek gaming tidak,3
@Priambudijoko16,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Usb C 2 suport mhl apa engga pak dafid,2025-02-01T05:36:13Z,usb c 2 suport mhl apa engga pak dafid,usb c 2 suport mahal apa tidak pak dafid,3
@petukasli514,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,INI ORANG GAK CINTA NEGERI...NGIKLANIN DAGANGAN IPHONE,2025-02-01T01:54:42Z,ini orang gak cinta negeri ngiklanin dagangan iphone,ini orang tidak cinta negeri ngiklanin dagangan iphone,2
@sisiliaputriutami8827,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,73 274,2025-01-31T20:39:21Z,73 274,73 274,3
@kholer26,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Gila gue nontn ini pke hp samsung j1 young😁😂,2025-01-31T15:58:32Z,gila gue nontn ini pke hp samsung j1 young,gila saya nonton ini pakai hp samsung j1 young,3
@Nailla84,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,"Di singapore, tempat david buat video tiap minggu qw kesana jln2
Tp klo liat konter hp iphone... Bisa beli
Tp saya kaum mendang mending
Mending buat makan😂 krn kerja capek😢",2025-01-31T14:37:14Z,di singapore tempat david buat video tiap minggu qw kesana jln2 tp klo liat konter hp iphone bisa beli tp saya kaum mendang mending mending buat makan krn kerja capek,di singapore tempat david buat video tiap minggu saya kesana jalan jalan tapi kalau lihat konter hp iphone bisa beli tapi saya golongan mendang mending mending untuk makan karena kerja cape,2
@kesekian25,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,"Sekarang di Indonesia sudah ilegal, apakah sinyal di Indonesia aman bang",2025-01-30T17:05:33Z,sekarang di indonesia sudah ilegal apakah sinyal di indonesia aman bang,sekarang di indonesia sudah ilegal apakah sinyal di indonesia aman bang,3
@EsaRachmawan,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,"Make kebeli ip cmn ip 5😭
Mudah mudahan dpt rezeky yg ga terduga ya allah amin",2025-01-30T10:05:23Z,make kebeli ip cmn ip 5 mudah mudahan dpt rezeky yg ga terduga ya allah amin,pakai kebeli iphone hanya iphone 5 msudah msudahan dapat rezeki yang tidak terduga ya allah amin,1
@cia_tupang12,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,"W cm nonton,wkwk 
Ga pernah pake iphone",2025-01-30T02:07:21Z,w cm nonton wkwk ga pernah pake iphone,saya hanya nonton hahaha tidak pernah pakai iphone,1
@adenuansa.l6654,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,"Bismillah ,kadoin istri 15 pro besok 30 januari ,mudah2an berkah dan brmanfaat dan digantikan dengan rzeki yg berkali2 lipat keluarga hamba  .aamiin",2025-01-29T01:43:16Z,bismillah kadoin istri 15 pro besok 30 januari mudah2an berkah dan brmanfaat dan digantikan dengan rzeki yg berkali2 lipat keluarga hamba aamiin,bismillah kadoin istri 15 pro besok 30 januari semoga berkah dan bermanfaat dan digantikan dengan rezeki yang berkali kali lipat keluarga saya aamiin,1
@abbaszul07,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Abang pake kamera apa sih .di luar bisa bagus. Clear . Boleh saran untuk rekomendasi.kamera? Untuk konten? Makasih,2025-01-26T03:03:10Z,abang pake kamera apa sih di luar bisa bagus clear boleh saran untuk rekomendasi kamera untuk konten makasih,abang pakai kamera apa sih di luar bisa bagus clear boleh saran untuk rekomendasi kamera untuk konten makasih,1
@anitafidiani1987,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,"Sdh punya IPhone 14 promax tp masih pengen yg 16 promax,😢 semoga abis lebaran bisa ganti 16 promax🤲",2025-01-26T00:47:48Z,sdh punya iphone 14 promax tp masih pengen yg 16 promax semoga abis lebaran bisa ganti 16 promax,sudah punya iphone 14 pro max tapi masih ingin yang 16 pro max semoga habis lebaran bisa diganti 16 pro max,1
@idamardiana4081,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,"kamera control.. 
hp sony dari jaman 2000an udah ada bang david.. 
menurut gw sony paling mendominasi si kalo masih ada.. 
🙏",2025-01-25T07:37:46Z,kamera control hp sony dari jaman 2000an udah ada bang david menurut gw sony paling mendominasi si kalo masih ada,kamera control hp sony dari zaman 2000an sudah ada bang david menurut saya sony paling mendominasi si kalo masih ada,3
@Master_haikal284,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Aku nunggu second 10 tahun lagi bang 😂,2025-01-25T03:00:19Z,aku nunggu second 10 tahun lagi bang,saya nunggu second 10 tahun lagi bang,1
@aprilzai7083,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,"Sampai seri Iphone 16 pro max saya masih nonton aja dulu,saya tunggu di PRO MAX 30 aja...baru joss😂😂😂",2025-01-25T00:50:41Z,sampai seri iphone 16 pro max saya masih nonton aja dulu saya tunggu di pro max 30 aja baru joss,sampai seri iphone 16 pro max saya masih nonton aja dulu saya tunggu di pro max 30 aja baru joss,1
@MLBB104A,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,SE 4 bg,2025-01-24T10:08:09Z,se 4 bg,se 4 bang,3
@BlackCard-e1b,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Di Indo blm ada keliatannya,2025-01-24T04:28:00Z,di indo blm ada keliatannya,di indonesia belum ada keliatannya,1
@divandaproduction6505,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Aku sayang caca,2025-01-23T15:49:25Z,aku sayang caca,saya sayang caca,3
@ammarattamimi7821,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,charger iphone pake charger apa aja ga resik kaj?,2025-01-23T11:26:54Z,charger iphone pake charger apa aja ga resik kaj,charger iphone pakai charger apa aja tidak resiko kah,3
@dininazira5627,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,nnton ini baru bisa kebeli ip 12 pro second😂😂😂,2025-01-23T01:46:10Z,nnton ini baru bisa kebeli ip 12 pro second,nonton ini baru bisa kebeli iphone 12 pro second,3
@JefriRamdani-b4q,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Alhamdulillah sudah kebeli 16 pro max 512 GB❤,2025-01-22T22:12:50Z,alhamdulillah sudah kebeli 16 pro max 512 gb,alhamdulillah sudah kebeli 16 pro max 512 gb,1
@hasanbermalam9680,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Tetep juara ya iphone dari penonton nya aja banyak,2025-01-22T06:06:31Z,tetep juara ya iphone dari penonton nya aja banyak,tetap juara ya iphone dari penonton nya aja banyak,1
@mantri_mugeni,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,hasil camera.nya kok 😢😢,2025-01-21T15:26:40Z,hasil camera nya kok,hasil kamera nya kok,2
@Mazzeuyi,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Masih setia iphone 7 dari tahun 2018 sampe sekarang. Karena belum mampu buat upgrade.😭😭,2025-01-21T00:13:01Z,masih setia iphone 7 dari tahun 2018 sampe sekarang karena belum mampu buat upgrade,masih setia iphone 7 dari tahun 2018 sampai sekarang karena belum mampu buat upgrade,1
@Entripsiman,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,IPHONE😭😭😭😭😭😭😭🥹😭🥹😭🥹🙏🙏🙏🙏🙏,2025-01-20T22:35:50Z,iphone,iphone,3
@Entripsiman,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,SERAKAHHHH,2025-01-20T22:35:30Z,serakahhhh,serakah,3
@Entripsiman,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,GUA UDAH NGALAH MEREKA RAKUSS BANYAK IPHONE,2025-01-20T22:34:44Z,gua udah ngalah mereka rakuss banyak iphone,saya sudah ngalah mereka rsayas banyak iphone,3
@hanstehuayo5150,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Focus denda Singapur 😮😮😮,2025-01-20T09:13:33Z,focus denda singapur,focus denda singapura,3
@adamzaid3605,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Kenapa gambar di varian pro mcam camera hp jadul ja mas 😅,2025-01-19T18:37:05Z,kenapa gambar di varian pro mcam camera hp jadul ja mas,kenapa gambar di varian pro semacam kamera hp jadul ya mas,2
@karyadisarki2287,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,"Alhamdulilah,,,sdh punya iphone 16 pro, hasil dari download....",2025-01-19T16:33:33Z,alhamdulilah sdh punya iphone 16 pro hasil dari download,alhamdulilah sudah punya iphone 16 pro hasil dari download,1
@yusufabdillahxyz,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,"Rata-rata penghasilan Gen Z di Indonesia adalah kurang dari Rp2,5 juta per bulan.
Angka ini didasarkan pada laporan Indonesia Gen Z Report 2024 dari IDN Research Institute. 
🔴⚪",2025-01-18T14:54:47Z,rata rata penghasilan gen z di indonesia adalah kurang dari rp2 5 juta per bulan angka ini didasarkan pada laporan indonesia gen z report 2024 dari idn research institute,rata rata penghasilan gen z di indonesia adalah kurang dari Rp 2 juta per bulan angka ini didasarkan pada laporan indonesia gen z report 2024 dari idn research institute,3
